Name,Type,Category 1,Category 2,Category 3,Category 4
Balloon Fish,Material,(Seafood),(Poison Materials),,
Sea Horse,Material,(Seafood),(Medical Materials),,
Old Master,Material,(Seafood),(Oil),,
Master of Ice,Material,(Seafood),(Water),,
Master of Fire,Material,(Seafood),(Fuel),,
Rapier Fish,Material,(Seafood),(Foodstuff),,
Mace Fish,Material,(Seafood),(Foodstuff),,
Blue Puniballs,Material,(Puniballs),(Foodstuff),(Hidden Power),
Green Puniballs,Material,(Puniballs),(Foodstuff),(Hidden Power),
Red Puniballs,Material,(Puniballs),(Foodstuff),(Hidden Power),(Gunpowder)
Gold Puniballs,Material,(Puniballs),(Foodstuff),(Hidden Power),(Metal)
Dragon Scale,Material,(Dragon Materials),(Medical Materials),(Elixirs),
Dragon Core,Material,(Dragon Materials),(Gems),(Hidden Power),(Elixirs)
Dragon Bloodstone,Material,(Dragon Materials),(Water),(Elixirs),(Poison Materials)
Great Tail,Material,(Dragon Materials),(Foodstuff),,
Drinking Water,Material,(Water),,,
Well Water,Material,(Water),,,
Crackling Water,Material,(Water),(Gas),,
Zapping Water,Material,(Water),(Hidden Power),,
Lakebottom Water,Material,(Water),(Medical Materials),,
Suspicious Liquid,Material,(Water),(Poison Materials),,
Puni Liquid,Material,(Water),(Medical Materials),,
Star Powder Water,Material,(Water),(Sand),(Hidden Power),
Holy Water,Material,(Water),(Medical Materials),(Hidden Power),
Eternal Ice,Material,(Water),(Hidden Power),,
Paper Scraps,Material,(Paper),(Fuel),,
Church Talisman,Material,(Paper),(Fuel),,
High Class Talisman,Material,(Paper),(Fuel),,
Pious Talisman,Material,(Paper),(Fuel),(Magic Tools),
Backen's Bromide,Material,(Paper),(Fuel),,
Plant Oil,Material,(Fuel),(Oil),,
Oil Tree Fruit,Material,(Fuel),(Oil),,
Mineral Oil,Material,(Fuel),(Ores),(Oil),
Kifa,Material,(Wood),(Fuel),,
Raven Wood,Material,(Wood),,,
Aroma Holts,Material,(Wood),(Aroma),,
Silver Web,Material,(Thread),,,
Golden Threads,Material,(Thread),(Animal Materials),(Fuel),
Natural Fertilizer,Material,(Clay),(Medical Materials),,
Red Sand,Material,(Sand),(Clay),,
Black Sand,Material,(Sand),(Clay),,
White Sand,Material,(Sand),,,
Sand Crystals,Material,(Sand),(Ores),,
White Ash Stone,Material,(Ores),,,
Golden Rock,Material,(Ores),(Gunpowder),,
Broken Rock,Material,(Ores),(Clay),,
Gravistone,Material,(Ores),(Hidden Power),,
Ertona Crystal,Material,(Ores),(Gems),(Hidden Power),
Eisen Ore,Material,(Ores),,,
Leiden Ore,Material,(Ores),,,
Kupfer Ore,Material,(Ores),,,
Kaen Stone,Material,(Ores),(Gunpowder),,
Hakurei Stone,Material,(Ores),,,
Steel Balls,Material,(Ores),(Metal),,
Black Tree Stone,Material,(Ores),(Plants),,
Soul Stone,Material,(Ores),(Metal),,
Ripple Stone,Material,(Ores),,,
Magnet Stone,Material,(Ores),,,
Kimberlite,Material,(Ores),,,
Black Star Stone,Material,(Ores),,,
Spirit Rock,Material,(Ores),(Magic Tools),(Hidden Power),
Rainbow Corundum,Material,(Ores),(Gems),(Medical Materials),(Hidden Power)
Crystal Shards,Material,(Gems),,,
Blue Crystal,Material,(Gems),(Ores),,
Deep Core,Material,(Gems),(Hidden Power),(Elixirs),
Small Statue of Hagel,Material,(Metal),(Hidden Power),,
Pendant Rock,Material,(Hidden Power),(Gems),,
Chaotic Dirt,Material,(Oil),(Gunpowder),(Clay),(Poison Materials)
Judgement Calling Stone,Material,(Water),(Ores),(Metal),
Terminus Leaf,Material,(Wood),(Hidden Power),(Elixirs),
Floating Orbs,Material,(Gas),(Hidden Power),(Elixirs),
Fragrant Powder,Material,(Aroma),(Medical Materials),,
Ensnaring Root,Material,(Plants),(Elixirs),,
Blue Sap,Material,(Water),(Plants),(Medical Materials),
Chipped Crystal,Material,(Gems),(Ores),,
Spirit of Service,Material,(Hidden Power),(Medical Materials),,
Ostracon Shell,Material,(Metal),(Elixirs),,
Cannon Fruit,Material,(Foodstuff),,,
Nectar Springwater,Material,(Water),(Medical Materials),(Elixirs),
Chariot Milk,Material,(Foodstuff),(Water),,
Mandragora Root,Material,(Plants),(Medical Materials),,
