#,Name,Category 1,Category 2,Category 3,Category 4,Lv,Quality,Fire,Water,Air,Earth,Location,Dropped By
41,Dangerous Meat,(Food),(Poison),(Meat),(Fermented),6,25,10,10,10,15,,
42,Fresh Meat,(Food),(Meat),,,19,75,0,15,0,35,Hidden Paradise-Water,"Flesh Eater,Howling Beast,Wolf"
43,Gold Meat,(Food),(Meat),,,30,100,15,0,15,50,"Hidden Paradise-Sky,Yggdrasil",Wolf
44,Lump of Fat,(Food),(Meat),(Oil),,11,60,10,15,0,5,"Oesten Marshland,Oesten Marsh-Swamp,Oesten Marsh-Ruin",
45,Marsh Slime,(Natural),(Oil),(Slime),,14,40,0,15,0,10,"Oesten Marshland,Oesten Marsh-Ruin",
46,Ether Bubble,(Natural),(Elixir),(Mystery),(Slime),20,80,15,15,15,15,"Hidden Paradise-Fire,Riesengang-Lower",
47,Big Bone,(Animal),(Medic. Ing.),(Access. Ing.),(Bone),6,50,5,0,10,15,"Grassland Hill,Evershade Woods",
48,Bone Fossil,(Animal),(Medic. Ing.),(Mystery),(Bone),13,60,10,10,0,30,"Tunnel-Dried Waterway,Salt Desert,Salt Desert-Lighthouse,Salt Desert-Hill",
49,Black Bone,(Animal),(Gunpowder),(Medic. Ing.),(Bone),20,80,0,15,15,35,"Hidden Paradise-Fire,Oesten Marsh-Ruin,Salt Desert-Mountain,Steinfeder",
50,Dragon Bone,(Animal),(Medic. Ing.),(Access. Ing.),(Bone),26,90,35,10,10,20,"Hidden Paradise-Wind,Salt Desert-Mountain",
51,Mtn. Bird Egg,(Food),(Oil),(Smelly),(Egg),2,45,0,0,15,10,"Hidden Paradise,Nearby Forest",
52,Seabird Egg,(Food),(Oil),(Smelly),(Egg),7,55,10,0,15,0,"Hallos-Residences,Hallos-Plaza",
53,Extinct Bird Egg,(Food),(Oil),(Smelly),(Egg),15,70,0,10,30,15,"Hidden Paradise-Earth,Oesten Marshland",
54,Egg Stone,(Ore),(Elixir),(Mystery),(Lucky Charm),20,80,10,0,20,45,"Hidden Paradise-Fire,Oesten Marsh-Ruin,Decayed Ruin Island",
55,Phlogiston,(Natural),(Gunpowder),(Fuel),,19,70,25,0,20,0,"Hallos Village,Hallos-Residences,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9",
56,Aqua Light,(Liquid),(Natural),(Slime),,19,70,0,25,10,20,"Dry Valley-Lake Bed,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Salt Desert",
57,Wind Core,(Natural),(Elixir),(Mystery),(Gemstone),19,70,20,0,25,0,"Glass Factory-3F,Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Serenity Island",
58,Earth Stone,(Natural),(Clay),(Nutritional),,19,70,0,20,0,25,"Zweiteturm-Archive 4,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Riesengang-Upper,Decayed Ruin Island",
59,Soft Stone,(Ore),(Clay),,,3,30,0,0,0,10,"Hidden Paradise,Tunnel,Tunnel-Broken Bridge,Old Coal Mine",
60,Peat,(Ore),(Fuel),(Clay),(Charcoal),2,40,10,0,0,20,"Hidden Paradise,Tunnel,Tunnel-Broken Bridge,Old Coal Mine",
61,Pale Clay,(Ore),(Clay),,,8,70,0,10,0,20,"Tunnel,Oesten Marshland,Oesten Marsh-Ruin",
62,Living Clay,(Ore),(Elixir),(Clay),,12,55,0,15,10,20,"Tunnel-Old Dam,Oesten Marshland,Oesten Marsh-Ruin",Yellow Element
63,Iron Mixed Stone,(Ore),(Metal),,,1,40,0,0,0,15,"Hidden Paradise,Tunnel,Tunnel-Broken Bridge,Old Coal Mine",
64,Bronze Ore,(Ore),(Metal),,,6,55,10,0,0,25,"Tunnel,Tunnel-Broken Bridge,Fragrant Wind Meadow",
65,Pyrite Stone,(Ore),(Metal),,,9,65,5,5,5,25,"Tunnel,Glass Factory,Glass Factory-2F,Riesengang-Upper,Riesengang-Middle",
66,Star Stone,(Ore),,,,12,60,15,0,25,15,"Glass Factory,Glass Factory-2F,Glass Factory-Core,Grand Rocky Mountain",Yellow Element
67,Green Gemstone,(Gemstone),,,,22,75,0,10,35,20,"Hidden Paradise-Fire,Riesengang-Middle",
68,Blue Gemstone,(Gemstone),,,,22,80,0,45,20,20,"Hidden Paradise-Fire,Riesengang-Middle",
69,Rouge Gemstone,(Gemstone),,,,22,85,45,10,0,20,"Hidden Paradise-Fire,Riesengang-Middle",
70,Pretty Ore,(Ore),(Access. Ing.),,,15,70,0,15,0,15,"Hidden Paradise-Earth,Glass Factory",
71,Big Gemstone,(Ore),(Access. Ing.),,,23,90,15,0,0,55,"Hidden Paradise-Wind,Salt Desert-Bones",
72,Shining Crystal,(Ore),(Mystery),,,17,80,0,10,20,15,"Hidden Paradise-Water,Glass Factory",
73,Eternal Crystal,(Ore),(Mystery),,,6,50,0,10,0,10,"Tunnel-Broken Bridge,Hallos-Plaza,Riesengang-Upper,Riesengang-Middle",
74,Prisma Crystal,(Ore),(Mystery),(Lucky Charm),,12,70,0,15,25,15,Glass Factory-3F,
75,Crystal Stone,(Mystery),(Gemstone),(Crystal),,8,60,0,10,10,5,"Tunnel-Old Dam,Tunnel-Dried Waterway,Glass Factory,Glass Factory-2F,Glass Factory-Core",
76,Amethyst Stone,(Mystery),(Gemstone),(Crystal),,16,75,0,15,20,10,"Hidden Paradise-Earth,Glass Factory",
77,Night Crystal,(Poison),(Mystery),(Gemstone),(Crystal),25,90,15,25,20,15,"Hidden Paradise-Wind,Salt Desert-Bones",
78,Corundum Stone,(Precious Ore),(Gemstone),,,20,80,0,0,25,25,"Hidden Paradise-Fire,Glass Factory-Core,Steinfeder",
79,Aurora Stone,(Elixir),(Precious Ore),(Gemstone),,30,90,20,20,20,20,"Hidden Paradise-Sky,Steinfeder",
80,Glass Core,(Ore),,,,14,25,10,0,25,15,"Glass Factory,Glass Factory-2F,Glass Factory-3F,Glass Factory-Core",
81,Luminous Gemstone,(Ore),(Poison),,,12,55,0,10,10,20,Glass Factory-3F,Carrier
82,Bright Ore,(Ore),(Mystery),(Precious Ore),,16,75,20,10,15,20,"Hidden Paradise-Earth,Glass Factory-2F,Riesengang-Lower",Tracker
83,Scorching Ore,(Ore),(Gunpowder),(Fuel),,12,65,20,0,10,15,"Tunnel-Broken Bridge,Glass Factory-3F",Porter
84,Diamond Gemstone,(Ore),(Gemstone),,,30,90,15,15,15,50,"Hidden Paradise-Sky,Steinfeder",Fortress
85,Moon's Gold Vein,(Ore),(Precious Ore),,,40,100,0,20,20,30,"Hidden Paradise-Sky,Steinfeder",Mecha-Dragon
86,Beehive,(Natural),(Gunpowder),(Seasoning),(Bee Hive),1,30,10,0,0,5,"Hidden Paradise,Nearby Forest,Harvestful Forest","Heavy Skin,Steel Skin"
87,Queen Bee Hive,(Natural),(Gunpowder),(Seasoning),(Bee Hive),12,55,15,0,15,10,Spring Water Forest,
88,Silver Hive,(Natural),(Gunpowder),(Seasoning),(Bee Hive),16,65,0,15,30,0,"Hidden Paradise-Earth,Oesten Marsh-Ruin",
89,Gold Hive,(Natural),(Gunpowder),(Seasoning),(Bee Hive),24,75,25,20,0,40,"Hidden Paradise-Wind,Cloud Sea Island,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate",
90,Bitter Melon,(Food),(Vegetable),(Fruit),,9,40,0,25,0,5,Wayward Forest,
91,Old Melon,(Food),(Vegetable),(Fruit),,13,55,0,40,0,15,"Grand Rocky Mountain,Salt Desert-Lighthouse",
92,Honey Melon,(Food),(Vegetable),(Fruit),,20,70,0,55,0,0,"Hidden Paradise-Fire,Beginning Island",Green Element
93,Sugar Tree Sap,(Liquid),(Seasoning),(Sweetener),(Fermented),11,55,0,25,0,10,Pond Forest,
94,Fermented Syrup,(Liquid),(Seasoning),(Sweetener),(Fermented),15,75,0,20,5,10,"Hidden Paradise-Earth,Waterfall Island,Serenity Island,Cloud Sea Island",
95,Natural Syrup,(Liquid),(Seasoning),(Sweetener),(Fermented),13,65,10,25,10,0,Spring Water Forest,Mirage Element
96,Milch Bean,(Food),(Bean),(Grain),,11,50,0,5,0,25,"Hallos-Residences,Deserted House",
97,Jewel Beans,(Precious Ore),(Access. Ing.),(Gemstone),,21,80,15,25,0,45,"Hidden Paradise-Fire,Beginning Island",
98,Big Milch Bean,(Food),(Bean),(Grain),,15,60,0,10,0,30,"Hidden Paradise-Earth,Hallos-Residences",
99,Small Milch Bean,(Food),(Bean),(Grain),,10,40,0,15,15,10,Hallos-Residences,
100,Red Devil,(Plant),(Vegetable),(Spice),,13,75,55,0,0,0,Hallos Village,
101,Blue Devil,(Plant),(Vegetable),(Spice),,9,65,25,25,0,0,Cliffside Path,
102,Sharp Pepper,(Plant),(Vegetable),(Spice),,16,25,40,0,20,20,"Hidden Paradise-Earth,Hallos Village",
103,Bitter Tree Seed,(Plant),(Spice),,,7,45,15,0,0,10,Riverside Way,
104,Spice Fruit,(Plant),(Spice),,,11,60,15,0,0,10,Salt Desert-Mountain,
105,Epicure Nut,(Food),(Fruit),,,16,80,25,25,25,25,"Hidden Paradise-Earth,Salt Desert-Hill",
106,Anti-Bug Grass,(Plant),(Poison),(Incense),,2,35,0,10,10,0,"Hidden Paradise,Dry Valley-Ravine Way,Pasture Way",Grass Element
107,Medicinal Leaf,(Plant),(Elixir),,,12,60,0,20,10,15,"Serenity Island,Beginning Island,Decayed Ruin Island",
108,Reaper Herb,(Plant),(Poison),(Herb),,23,20,10,10,35,10,"Hidden Paradise-Wind,Salt Desert-Lighthouse",
109,Wood Fragments,(Plant),(Lumber),(Incense),(Dried Plant),9,40,10,0,0,15,Dry Valley,
110,Charcoal Pieces,(Plant),(Fuel),(Lumber),(Charcoal),7,50,25,0,5,5,"Hallos Village,Hallos-Residences,Cliffside Path",Tree Element
111,Purification Block,(Plant),(Elixir),(Lumber),,16,75,15,0,15,10,"Hidden Paradise-Earth,Glass Factory-3F",Yellow Element
112,Mud Ball,(Strange),(Clay),,,6,20,0,0,0,25,"Tunnel-Old Dam,Tunnel-Dried Waterway",
113,Ash Ball,(Strange),(Clay),,,12,35,20,0,0,30,Hallos-Plaza,
114,Gold Ball,(Strange),(Clay),,,24,95,15,15,15,45,"Hidden Paradise-Wind,Riesengang-Upper",
115,Lady's Beard,(Strange),(Filter),(String),,11,60,10,10,15,10,Spring Water Forest,
116,Golden Yarn,(Strange),(Filter),(String),,22,80,20,20,20,20,"Hidden Paradise-Wind,Yggdrasil-Flower Alley",
117,Mysterious Silk,(Strange),(Filter),(String),,30,100,30,30,30,30,"Hidden Paradise-Sky,Yggdrasil",
118,Round Moss,(Strange),(Mystery),(Filter),(Lucky Charm),8,45,0,20,0,10,"Fragrant Wind Meadow,Hallos-Plaza",
119,Antique Moss,(Strange),(Mystery),(Filter),(Lucky Charm),13,55,0,30,0,15,Oesten Marsh-Swamp,
120,Fresh Water Moss,(Strange),(Mystery),(Filter),(Lucky Charm),18,70,0,45,0,0,"Hidden Paradise-Water,Dry Valley-Ravine Way",
121,Mtn. Bird Feather,(Animal),(Feather),,,6,60,0,0,25,10,Dry Valley-Lake Bed,
122,Eagle Feather,(Animal),(Feather),(Legendary),,13,70,0,0,40,20,Salt Desert-Mountain,
123,Paradise Feather,(Animal),(Feather),(Legendary),,25,90,30,20,50,0,"Hidden Paradise-Wind,Yggdrasil-Flower Alley",
124,Word Stone-Star,(Mystery),(Antique),(Ancient Word),,4,40,15,0,0,20,"Tunnel-Broken Bridge,Zweiteturm-Archive 5,Zweiteturm-Archive 6",
125,Word Stone-Moon,(Mystery),(Antique),(Ancient Word),,8,50,25,0,30,0,"Zweiteturm-Archive 5,Zweiteturm-Archive 6",
126,Word Stone-Sun,(Mystery),(Antique),(Ancient Word),,16,60,0,30,0,15,"Hidden Paradise-Earth,Glass Factory-2F,Zweiteturm-Archive 5,Zweiteturm-Archive 6",
127,Word Stone-Sea,(Mystery),(Antique),(Ancient Word),,24,80,0,40,30,15,"Hidden Paradise-Wind,Zweiteturm-Archive 8,Zweiteturm-Archive 9",
128,Word Stone-Man,(Mystery),(Antique),(Ancient Word),,36,90,50,0,30,30,"Hidden Paradise-Sky,Yggdrasil-Flower Gate",
129,Verdure Grass,(Plant),(Flower),(Lucky Charm),,15,60,0,0,20,20,"Hidden Paradise-Earth,Waterfall Island,Serenity Island,Cloud Sea Island",Grass Element
130,Lucky Clover,(Plant),(Flower),(Lucky Charm),,20,70,0,30,30,0,"Hidden Paradise-Fire,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Salt Desert-Hill",
131,Oblivion Clover,(Plant),(Flower),(Lucky Charm),,25,80,50,0,0,50,"Hidden Paradise-Wind,Salt Desert-Lighthouse",
132,Honey Poppy,(Plant),(Sweetener),,,9,55,0,5,0,15,"Altugle Herb Garden,Riverside Way",
133,Moonlight Grass,(Plant),(Elixir),(Medic. Herb),,15,65,0,15,0,35,"Hidden Paradise-Earth,The Farthest Forest",Flower Element
134,Dunkelheit,(Plant),(Medic. Herb),(Flower),,24,90,0,20,20,40,"Hidden Paradise-Wind,Yggdrasil,Sham Linca",
135,White Flower,(Plant),(Medic. Herb),(Flower),,2,40,0,0,5,10,"Hidden Paradise,Nearby Forest",Flower Element
136,Red Flower,(Plant),(Oil),(Flower),,6,50,15,0,0,15,"Harvestful Forest,Fragrant Wind Meadow",Flower Element
137,Purple Flower,(Plant),(Flower),,,11,65,0,20,0,20,Grassland Hill,Flower Element
138,Water,(Liquid),(Water),,,1,40,0,20,0,0,"Hidden Paradise,Front of Workshop,Village Plaza",
139,Clean Water,(Liquid),(Water),,,11,60,0,30,0,0,"Pond Forest,Hornheim Plaza",
140,Muddy Water,(Liquid),(Water),(Fermented),,6,20,0,15,0,25,"Dry Valley,Dry Valley-Lake Bed,Dry Valley-Ravine Way,Hill Plaza",
141,Salty Water,(Liquid),(Water),(Fermented),(Salt),16,75,20,10,0,0,"Hidden Paradise-Water,Salt Desert,Salt Desert-Lighthouse,Salt Desert-Bones,Salt Desert-Hill",
142,Spring Water,(Liquid),(Water),,,20,90,0,50,20,0,"Hidden Paradise-Fire,Pond Forest",Green Element
143,Cow Milk,(Liquid),(Seasoning),(Milk),,6,50,0,15,0,25,,
144,Rich Cow Milk,(Liquid),(Seasoning),(Milk),,12,60,0,20,0,25,,
145,Aged Cow Milk,(Liquid),(Seasoning),(Milk),(Tonic),18,80,10,25,10,40,"Hidden Paradise-Water,Cow's Paradise-Lake",
146,Crowned Cow Milk,(Liquid),(Seasoning),(Milk),(Tonic),25,90,25,30,20,15,"Hidden Paradise-Wind,Cow's Paradise-Lake",
147,Liquid Crystal,(Natural),(Medic. Ing.),(Solution),(Salt),9,40,0,15,0,10,Hallos-Plaza,
148,Element Core,(Natural),(Mystery),(Fuel),,18,65,35,35,35,25,"Hidden Paradise-Water,Glass Factory-Core,Steinfeder",
149,Crystalline Ether,(Natural),(Precious Ore),,,27,80,0,45,45,0,"Hidden Paradise-Sky,Salt Desert-Mountain,Tank,Dragoon",Pico-Slag
150,Water Crystal,(Ore),(Natural),(Water),(Solution),12,50,0,15,0,10,"Dry Valley,Spring Water Forest",
151,Fossil Oil,(Natural),(Fuel),(Oil),(Solution),18,60,50,0,15,30,"Hidden Paradise-Water,Tunnel-Old Dam",
152,Genesis Capsule,(Natural),(Elixir),(Mystery),,36,90,0,10,10,50,"Hidden Paradise-Sky,Yggdrasil-Flower Gate",Dragoon
153,Eiche,(Natural),(Lumber),,,6,30,0,0,0,15,"Half-Florescent Field,Harvestful Forest",Tree Element
154,Rock Tree,(Natural),(Lumber),,,13,60,0,0,0,35,"Dry Valley-Lake Bed,Grand Rocky Mountain",
155,Piece of Wood,(Natural),(Mystery),(Lumber),,19,75,30,0,0,35,"Hidden Paradise-Water,The Farthest Forest,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate",
156,River Wood,(Natural),(Lumber),,,15,40,0,25,0,15,"Hidden Paradise-Earth,Dry Valley-Ravine Way",
157,Mossy Driftwood,(Natural),(Lumber),,,18,50,0,30,0,20,"Hidden Paradise-Water,Oesten Marshland,Oesten Marsh-Swamp",
158,Ancient Root,(Natural),(Mystery),(Lumber),,26,90,0,20,30,60,"Hidden Paradise-Sky,Decayed Ruin Island,Yggdrasil-Flower Alley",
159,Thin Fruit,(Food),(Fruit),,,2,20,0,5,20,0,"Hidden Paradise,Dry Valley,Dry Valley-Lake Bed,Pasture Way",Fruit Hamster
160,Ripe Fruit,(Food),(Fruit),,,7,40,0,10,15,0,Grassland Hill,Poison Squirrel
161,Fully Ripe Fruit,(Food),(Incense),(Fruit),,14,60,0,20,20,0,Salt Desert-Mountain,Bitter Squirrel
162,Golden Fruit,(Food),(Incense),(Fruit),(Sweetener),22,80,0,40,30,0,"Hidden Paradise-Wind,Cloud Sea Island",Golden Rat
163,Cow Dropping,(Strange),(Incense),(Smelly),(Fermented),1,10,15,0,0,20,"Cow's Paradise-Grass,Hidden Paradise,Deserted House",
164,Gold Object,(Ore),(Strange),(Mystery),(Antique),20,80,0,0,20,40,"Hidden Paradise-Fire,Zweiteturm-Archive 8,Zweiteturm-Archive 9,Decayed Ruin Island",
165,Fire Stone,(Ore),(Gunpowder),(Fuel),(Smelly),3,30,10,0,0,10,"Hidden Paradise,Old Coal Mine,Riesengang-Upper,Riesengang-Middle",
166,Fluorite,(Ore),(Mystery),,,6,40,0,5,15,15,"Tunnel-Old Dam,Tunnel-Dried Waterway,Riesengang-Upper,Riesengang-Middle",
167,Lava Stone,(Ore),(Gunpowder),(Fuel),,19,75,50,0,0,15,"Hidden Paradise-Fire,Glass Factory-Core,Riesengang-Lower,Steinfeder",
168,Dried Fat,(Natural),(Fuel),(Meat),(Oil),5,35,15,0,0,10,"Hallos Village,Hallos-Residences",
169,Ghost Cloth,(Natural),(Poison),(Fuel),(Cloth),11,50,20,0,0,15,"Hallos-Plaza,Evershade Woods",
170,Fire Spirit Breath,(Natural),(Gunpowder),(Fuel),,22,70,50,0,20,0,Salt Desert-Bones,"Mirage Element,Fairydrake"
171,Pixie Breath,(Natural),(Elixir),,,35,100,40,40,40,40,"Hidden Paradise-Sky,Yggdrasil-Flower Gate",
172,Night Fog Bottle,(Natural),(Poison),(Smelly),,16,30,0,15,15,0,"Hidden Paradise-Water,Glass Factory-2F",
173,Black Spring,(Liquid),(Poison),(Fuel),(Solution),11,40,20,5,0,10,"Tunnel-Old Dam,Oesten Marsh-Swamp",
174,Silver Liquid,(Liquid),(Medic. Ing.),(Poison),(Slime),19,55,30,0,0,25,"Hidden Paradise-Fire,Oesten Marsh-Swamp,Riesengang-Lower,Salt Desert-Hill",
175,Nectar Water,(Liquid),(Mystery),(Water),(Sweetener),24,80,0,45,15,10,"Hidden Paradise-Wind,Waterfall Island,Yggdrasil,Yggdrasil-Flower Alley,Yggdrasil-Flower Gate",Yellow Element
176,Junk,(Strange),(Metal),(Antique),(Junk),1,0,5,5,5,15,"Hidden Paradise,Tunnel,Zweiteturm-Archive 2",
177,Ancient Trash,(Strange),(Metal),(Antique),(Junk),6,0,10,10,10,25,"Zweiteturm-Archive 2,Oesten Marsh-Swamp,Riesengang-Upper",
178,Broken Item,(Strange),(Metal),(Antique),(Junk),2,0,0,15,15,0,"Hidden Paradise,Hallos-Plaza,Zweiteturm-Archive 2",
179,Never-Melting Ice,(Strange),(Mystery),,,17,80,0,35,0,15,"Hidden Paradise-Water,Glass Factory-3F,Riesengang-Lower,Salt Desert-Bones",
180,Aqua Spider Thread,(Natural),(Elixir),(Gunpowder),(String),22,90,0,20,0,25,"Hidden Paradise-Wind,Waterfall Island",Mirage Element
181,Slag Stone,(Mystery),(Antique),,,5,10,0,0,0,20,,"Mini-Slag,Nano-Slag"
182,Red Slag Stone,(Mystery),(Antique),,,9,40,25,0,0,15,,"Nano-Slag,Pico-Slag"
183,Green Slag Stone,(Mystery),(Antique),,,14,70,0,0,25,15,,Tera-Slag
184,Slag Gem,(Mystery),(Antique),,,9,25,0,0,15,15,,"Guard,Watchman"
185,Fire Slag Stone,(Mystery),(Antique),,,15,55,30,0,10,10,,"Watchman,Officer"
186,Ice Slag Stone,(Mystery),(Antique),,,21,85,0,20,15,15,,"Officer,Leader"
187,Soul Slag Stone,(Mystery),(Antique),(Legendary),,15,60,25,40,0,25,,"Carrier,Tracker,Porter"
188,Sky Slag Stone,(Mystery),(Antique),(Legendary),,25,110,40,40,20,0,,Fortress
189,Earth Slag Stone,(Metal),(Mystery),(Antique),(Legendary),35,120,0,20,40,40,,Mecha-Dragon
190,Hard Claw,(Animal),(Medic. Ing.),,,6,30,0,10,0,20,,Heavy Skin
191,Big Claw,(Animal),(Medic. Ing.),,,13,45,0,10,0,30,,Steel Skin
192,Ruler's Claw,(Animal),(Medic. Ing.),(Legendary),,20,70,0,0,0,25,,Red Skin
193,Crystal Claw,(Animal),(Elixir),(Legendary),(Gemstone),27,90,0,25,25,30,,"War Bear,Scorching Dragon"
194,Fur,(Animal),(Leather),,,5,30,0,0,0,20,"Altugle Herb Garden,Herb Garden-Corridor","Heavy Skin,Steel Skin,Stray Dog,Flesh Eater"
195,Soft Fur,(Animal),(Leather),,,7,50,0,0,0,20,,"Howling Beast,Steel Skin,Red Skin"
196,Cryptid Fur,(Animal),(Leather),(Legendary),,33,95,45,10,0,30,Hidden Paradise-Sky,"Wolf,War Bear"
197,Quality Fur,(Animal),(Leather),,,15,70,0,0,0,30,"Hidden Paradise-Earth,Serenity Island","Red Skin,Howling Beast"
198,Silver Fur,(Animal),(Leather),,,22,85,0,15,20,25,"Hidden Paradise-Wind,Salt Desert-Bones",Wolf
199,Dragon Tail,(Animal),(Meat),(Tonic),,11,60,10,10,0,0,,Butterfly Lizard
200,Living Tail,(Animal),(Meat),(Tonic),,18,40,15,15,0,0,Hidden Paradise-Water,"Scorching Dragon,Compact Dragon"
201,Fairy Tail,(Animal),(Meat),,,27,75,0,15,35,0,Hidden Paradise-Sky,Fairydrake
202,Dragon Scale,(Animal),(Scale),,,42,100,30,30,0,0,Hidden Paradise-Sky,"Old Oath Dragon,Grand Dragon"
