#,Name,Category 1,Category 2,Category 3,Category 4,F,WA,WI,E,Attribute Value,Gather Location,Drop Monster,Disassembles To
21,Marine Clay,(Clay),(Seasoning),,,,,,X,10,"Fertile Sea - Northern Area, Eastern Sea of Smoke, Land of Fallen Stars, Sandy Shore","Ore Rat, Amber Spirit",
22,Animal Meat,(Meat),(Smelly),,,,,,X,20,,Wolves.,
23,Fresh Meat,(Meat),(Smelly),,,,X,,X,15,Geofront,,
24,Marbled Meat,(Meat),(Medic. Ing.),,,,X,X,X,10,Geofront,,
25,Wild Pelt,(Animal),(Pelt),,,X,,,,15,,Wolves,
26,Superior Pelt,(Animal),(Pelt),,,,,X,,25,Geofront,,
27,Shining Pelt,(Animal),(Pelt),,,X,,X,X,15,Geofront,,
28,Animal Bone,(Animal),,,,,,,X,10,"Sandy Ruins, Spine Post",Small dragons,
29,Beast Bone,(Animal),,,,,,,X,15,"Crystal Valley, Seat of Eternity, Cape of the End",,
30,Dragon Bone,(Dragon Material),,,,X,,,X,15,"Drifting Ghost Ship, Heaven's Vine, Seat of Eternity, Geofront",,
31,Trash,(Fuel),(Smelly),,,X,,,,10,"Drifting Ghost Ship, Ancient Ruins",,
32,Junk,(Ancient Relic),(Antique),(Metal),,,,,X,10,"Ancient Ruins, Forgotten Laboratory",Carrier,
33,Scrap Metal,(Ancient Relic),(Antique),(Metal),,X,,,,15,"Abandoned Factory, Ancient Ruins","Bullet Slag, Dinosaur, Ore Rat",
34,Bent Screw,(Ancient Relic),(Antique),(Metal),,,,,X,10,"Fertile Sea - Northern Area, Drifting Ghost Ship, Ancient Ruins, Sea of Eternity",Porter,
35,Rusty Cog,(Ancient Relic),(Antique),(Metal),,,,X,,15,"Drifting Ghost Ship, Abandoned Factory",Gatekeeper,
36,Dark Iron Gear,(Ancient Relic),(Antique),(Metal),,X,,X,,20,"Drifting Ghost Ship, Geofront",,
37,Small Relic,(Ancient Power),(Ancient Relic),(Antique),(Metal),,,,X,20,"Drifting Ghost Ship, Seat of Eternity, Hidden Cave, Sea of Eternity",,
38,Double Foot Component,(Ancient Power),(Ancient Relic),(Antique),(Metal),X,,X,,20,"Drifting Ghost Ship, Geofront",,
39,Mixed Oil,(Fuel),(Liquid),(Oil),,X,X,,,20,"Abandoned Factory, Ancient Ruins, Forgotten Laboratory",,
40,Rabbit Fur,(Animal),(Thread),,,,,,X,15,,Rabbit family,
41,Rabbit Horn,(Animal),,,,X,,,,20,Fertile Sea - Northern Area,,
42,Sand Runner Feather,(Animal),(Feather),,,,,X,,10,Land of Fallen Stars,Ostrich family,
43,Sand Runner Tailfeather,(Animal),(Feather),(Thread),,,,X,,15,Land of Fallen Stars,Ostrich family,
44,Slag Fragment,(Slag Part),,,,X,X,X,X,1,Drifting Ghost Ship,Slag,
45,Slag Cable,(Slag Part),(Thread),,,X,X,,,15,Drifting Ghost Ship,Mini-Slag,
46,Slag Antenna,(Ancient Power),(Slag Part),,,X,,X,,10,,Guard,
47,Slag Heart,(Meat),(Slag Part),,,X,,,X,20,,Carrier,
48,Slag Memory,(Metal),(Slag Part),,,X,X,,,20,,Cube family,
49,Slag Scissors,(Slag Part),,,,X,,,X,20,Drifting Ghost Ship,Colonia,
50,Slag Blade,(Feather),(Slag Part),,,X,,X,,20,Drifting Ghost Ship,Thied,
51,Slag Core,(Elixir),(Slag Part),,,X,X,X,,20,"Drifting Ghost Ship, Seat of Eternity",Flat Fish,
52,Slag Coin,(Ancient Relic),(Antique),(Slag Part),,X,,,,15,Drifting Ghost Ship,,
53,Slag Amber,(Jewel),(Mystery),(Slag Part),,X,,,X,20,"Drifting Ghost Ship, Geofront",,Broken Item
54,Mantis Blade,(Animal),(Meat),,,X,,X,,20,,Scissor Beast family,
55,Boar Tusk,(Animal),(Medic. Ing.),,,,,X,X,20,Crystal Valley,Boar family,
56,Steel Fur,(Animal),(Metal),(Thread),,,X,X,,20,Geofront,,
57,Unknown Egg,(Oil),,,,,,X,,10,"Castle of Mirages, Woods of Eternal Night, Hidden Forest",Butterfly Lizard family,
58,Colseit Apple,(Apple),(Aroma),(Fruit),,,X,,,15,,,
59,Poison Apple,(Apple),(Fruit),(Poison),,X,,,,25,,Alchemy Rat,
60,Golden Apple,(Apple),(Fruit),(Jewel),,X,X,X,X,15,"Herb Garden, Geofront",,
61,Anti-Bug Grass,(Plant),(Smelly),,,,,X,,10,"Fertile Sea, Fertile Sea - Eastern Area","Poison Squirrel, Grass Element, Yellow Elemental",
62,Dusk Sea Sand,(Sand),,,,,,,X,10,"Fertile Sea, Fertile Sea - Eastern Area, Fertile Sea - Northern Area, Land of Fallen Stars, Lush Valley",,
63,White Sand Powder,(Sand),,,,,X,,X,10,"Sandy Shore, Green Desert, Cape of the End",Sand Rat,
64,Sand Crystal,(Jewel),(Sand),,,,,X,X,15,"Eastern Sea of Smoke, Rotted Forest, Trade Ship Graveyard, Geofront, Drifting Cemetery","Salt Eater, Sand Rat",
65,Marble Rock Salt,(Natural),(Sand),(Seasoning),,,X,,X,15,"Crystal Valley, Hole of the Dead",Salt Eater,
66,Stone Coral,(Animal),(Antique),(Ore),,,X,,X,15,"Sandy Shore, Green Desert",,
67,Giant Triangular Fang,(Animal),(Antique),(Ore),,,X,,X,20,"Eastern Sea of Smoke, Trade Ship Graveyard, Cape of the End",,
68,Giant Fossil,(Animal),(Antique),(Mystery),(Ore),X,,,X,20,"Eastern Sea of Smoke, Rotted Forest, Trade Ship Graveyard, Crystal Valley, Geofront",,
69,Hundred Color Shell,(Animal),,,,,X,,,15,"Crystal Valley, Tunnel of Plants, Hidden Cave",,
70,Whale Whisker,(Animal),(Thread),,,,X,,,15,"Altar of Spirits, Path to the Altar, Nomad Camp, The Furthest Village",Undertaker,
71,White Crest Fish,(Fish),(Medic. Ing.),(Seasoning),,,X,,,15,Fishing,,
72,Butterfly Fish,(Fish),(Fuel),,,,X,X,,10,Fishing,,
73,Balloon Fish,(Poison),,,,X,X,,,25,"Fishing, Geofront",,
74,Smech,(Fish),(Mystery),,,,X,,X,20,"Geofront, Fishing",,
75,Fish Lord,(Elixir),(Fish),(Medic. Ing.),,X,X,,X,15,"Geofront, Fishing with high effect bait at Green Desert",,
76,Nectar Springwater,(Elixir),(Liquid),(Medic. Ing.),(Water),,X,,,25,Geofront,,Supplement - White
77,Dry Wood Chips,(Fuel),(Lumber),,,,,X,X,10,"Drifting Ghost Ship, Green Desert, Lush Valley",Tree Element,
78,Cactus Palm,(Plant),(Vegetable),,,X,X,X,X,5,"Land of Fallen Stars, Solice Trade Camp","Bitter Squirrel, Flower Element",
79,Ultramarine Root,(Plant),(Vegetable),,,,X,,X,20,"Heaven's Vine, Heaven's Vine - Sapling, Heaven's Vine - Root Division",,
80,Gravistone,(Mystery),(Oil),(Ore),,,,X,,25,"Castle of Mirages, Filled Cave","Dinosaur, Scissor Beast",
81,Dark Iron Ore,(Ore),,,,X,,,X,20,"Geofront, Drifting Cemetery, Hidden Forest, Hole of the Dead, Tunnel of Plants","Porter, Abyss Moler, Ghost Sect",
82,Holinica Ore,(Ore),,,,,,,X,30,"Castle of Mirages, Nomad Camp, Forest of Miracles, Abandoned Factory, Filled Cave","Carrier, Dry Blade",
83,Leichester Meteorite Iron,(Mystery),(Ore),,,,,X,X,20,"Eastern Sea of Smoke, Sandy Ruins, Rotted Forest, Land of Fallen Stars",Death Scissor,
84,Mountain Bird Feather,(Animal),(Feather),,,,,X,,15,"Heaven's Vine, Castle of Mirages, Woods of Eternal Night",,
85,Wind Rider Feather,(Animal),(Feather),(Mystery),(Thread),,,X,,30,"Heaven's Vine, Heaven's Vine - Sapling, Geofront",,
86,Evergreen Leaf,(Plant),,,,,X,X,,20,"Heaven's Vine, Heaven's Vine - Sapling, Heaven's Vine - Root Division, Seat of Eternity",Green Element,
87,Glass Shards,(Ancient Relic),(Antique),(Synthesis),,,X,,X,10,Drifting Ghost Ship,"Mirage Element, Amethyst Rat",
88,Tsuchishinobi,(Plant),,,,,,,X,35,"Herb Garden, Woods of Eternal Night, Water Garden of Origins",,
89,Old Treasure Chest,(Ancient Relic),(Lumber),,,,,X,,30,"Drifting Ghost Ship, Spine Post, The Furthest Village, Hidden Cave",Alchemy Rat,
90,Reaper's Kiss,(Plant),(Poison),,,,,,X,40,"Hill of Silence, Drifting Ghost Ship",,
91,Contaminated Water,(Gunpowder),(Liquid),(Poison),(Water),,X,,X,5,"Land of the Dead, Facility Ruins",Hell Element,
92,Stink Bean,(Grain),(Plant),(Smelly),,,,X,X,10,"Land of the Dead, Hill of Silence",Poison Squirrel,
93,Angel Hair,(Natural),(Plant),(Poison),,,X,X,,20,"Land of the Dead, Facility Ruins",,
94,Firefly Grass,(Plant),(Vegetable),,,,,X,X,10,"Herb Garden, Herb Garden - Depths",Yellow Elemental,
95,Smoke Mushroom,(Gas),(Smelly),(Vegetable),,X,,,,15,"Drifting Ghost Ship, Geofront",,
96,Dark Shoot,(Fuel),(Vegetable),,,,,,X,20,"Land of the Dead, Geofront",,
97,Mossy Driftwood,(Lumber),,,,,X,,X,20,"Forest of Miracles, Water Garden of Origins, Tunnel of Plants",,
98,Lotus,(Medic. Ing.),(Mystery),(Plant),,,X,,X,15,"Altar of Spirits, Path to the Altar, Castle of Mirages, Forest of Miracles, Water Garden of Origins",Green Element,
99,Star Core,(Metal),,,,X,,X,,15,"Sandy Ruins, Rotted Forest, Castle of Mirages, Drifting Cemetery, Filled Cave",Flat Fish,
100,Ancient Tree Splinter,(Elixir),(Lumber),,,,X,,X,15,"Crystal Valley, Castle of Mirages, Geofront",,Ancient Water
101,Giant Scale,(Animal),(Dragon Material),(Pelt),,X,X,,,25,"Rotted Forest, Trade Ship Graveyard",,
102,Permeating Toxin,(Clay),(Fuel),(Poison),,X,,,X,10,"Facility Ruins, Hill of Silence",Hell Element,
103,White Lump,(Oil),,,,,X,,,15,,,
104,Ancient Stone,(Ancient Relic),(Antique),(Ore),,,,,X,15,"Castle of Mirages, Geofront, Abandoned Factory",,
105,Phlogiston,(Gunpowder),(Natural),,,X,,,,20,"Fertile Sea - Eastern Area, Sandy Shore, Lush Valley",Sand Spirit,
106,Aqua Light,(Liquid),(Natural),,,,X,,,20,"Land of the Dead, Facility Ruins, Altar of Spirits, Path to the Altar",Dusk Spirit,
107,Wind Core,(Gas),(Natural),,,,,X,,20,"Crystal Valley, Nomad Camp",Azure Spirit,
108,Glass Core,(Ore),,,,,,,X,20,"Drifting Cemetery, The Furthest Village, Forest of Miracles, Filled Cave, Hole of the Dead","Amethys Rat, Amber Spirit",
109,Zemnite,(Medic. Ing.),(Natural),,,,X,,X,15,"Heaven's Vine - Root Division, Herb Garden, Herb Garden - Depths, Geofront, Drifting Cemetery",Emerald Ray,
110,Crystal Fragment,(Ore),,,,,,X,X,20,"Crystal Valley, Cape of the End, Hidden Cave, Sea of Eternity",Mirage Element,
111,Melting Glass Shard,(Ancient Relic),(Fuel),(Gunpowder),(Natural),,X,X,,15,Castle of Mirages,Sand Walker,
112,Blazing Ore,(Gunpowder),(Jewel),(Ore),,X,,,X,20,"Castle of Mirages, Forgotten Laboratory",Gatekeeper,
113,Silver Groundwater,(Liquid),(Metal),,,,X,,X,10,"Geofront, Seat of Eternity",Abyss Moler,
114,Endangered Herb,(Elixir),(Medic. Ing.),(Mystery),(Plant),,X,X,X,20,"Heaven's Vine - Root Division, Herb Garden, Geofront",,
115,Time Flower,(Ancient Power),(Elixir),(Plant),,X,X,X,X,20,"Castle of Mirages, Seat of Eternity","Embodiment of Nature, Phoenix of the Sea, Queen of Eternal Night",
116,Diamond Ore,(Jewel),,,,,,,X,40,"Path to the Altar, Castle of Mirages, Seat of Eternity, Geofront",,
117,Enormous Tail,(Dragon Material),(Meat),,,,,,X,40,Geofront,,
118,King's Wing,(Dragon Material),(Meat),(Pelt),,,,X,,40,Geofront,,
119,Dragon Core,(Dragon Material),(Elixir),(Gunpowder),(Ore),X,X,X,X,20,Geofront,,Medical Foundation
120,Pendelook,(Jewel),(Mystery),,,X,,X,,10,"Drifting Ghost Ship, Castle of Mirages, Geofront",,Medical Foundation
121,Forgetful Grass,(Elixir),(Plant),,,X,,,X,15,"Altar of Spirits, Path to the Altar, Castle of Mirages, Water Garden of Origins",,
122,Dunkelheit,(Elixir),(Medic. Ing.),(Mystery),(Plant),X,X,X,X,20,"Herb Garden, Seat of Eternity, Geofront",,
123,Ancient Map,(Antique),(Paper),,,,,X,,30,Buy from Linca,,
124,Sand Dragon Scale,(Dragon Material),(Mystery),,,X,X,X,X,10,Eastern Sea of Smoke,Sand Dragon,
125,Tidal Spear,(Weapon - Broom),(Weapon - Longsword),(Weapon - Pile Driver),(Weapon - Twin Sword),,X,,,50,,Lord of Water,
126,Paper Scraps,(Fuel),(Paper),,,,X,,,10,"Solice Trade Camp, Spine Post, Nomad Camp",,
127,Elaborate Screw,(Ancient Relic),(Antique),(Metal),,X,,,,30,"Drifting Ghost Ship, Seat of Eternity, Geofront",,
128,Old Stone,(Ancient Relic),(Clay),(Metal),(Ore),,,,X,40,"Geofront, Seat of Eternity",,
129,Ancient Gold Thread,(Ancient Relic),(Natural),(Thread),,,,,X,40,"Geofront, Seat of Eternity",,
130,Ancient Water,(Liquid),(Medic. Ing.),(Mystery),(Water),,X,,,40,"Geofront, Seat of Eternity",,
131,Medical Foundation,(Ancient Relic),(Elixir),(Medic. Ing.),(Oil),,X,X,,20,"Altar of Spirits, Path to the Altar, Castle of Mirages, Geofront",,
132,Bad Water,(Liquid),(Water),,,,X,,,5,Barrels,,
133,Cloth Scraps,(Cloth),,,,,,X,X,10,"Solice Trade Camp, Spine Post, Nomad Camp",,
134,Broken Item,(Synthesis),,,,,,,X,5,Disassemble into,,
